=======================================
================ Index ================
=======================================

0000 - 0119 - US Port & Bay Authorities
0120 - 0121 - Historical Port Authorities
xxxx - xxxx - US Airports
xxxx - xxxx - US Transportation Authorities


=======================================
================ Notes ================
=======================================

https://en.wikipedia.org/wiki/Port_authority#United_States

Includes US states and territories as an identification aid. 



=======================================
====== US Port & Bay Authorities ======
=======================================

046    Panama City Port Authority                                      FL
047    Perry County Port Authority                                     IN
048    Philadelphia Regional Port Authority                            PA
049    Port Authority of Guam                                          GU
050    Port Authority of New York and New Jersey                       NY/NJ
051    Port Everglades                                                 FL
052    Port Freeport                                                   TX
053    Port Isabel-San Benito Navigation District                      TX
054    Port of Anacortes                                               WA
055    Port of Astoria                                                 OR
056    Port of Beaumont Navigation District of Jefferson County        TX
057    Port of Bellingham                                              WA
058    Port of Brookings-Harbor                                        OR
059    Port of Cleveland                                               OH
060    Port of Coos Bay                                                OR
061    Port of Corpus Christi Authority                                TX
062    Port of Everett                                                 WA
063    Port of Fernandina                                              FL
064    Port of Galveston                                               TX
065    Port of Grays Harbor                                            WA
066    Port of Greater Cincinnati                                      OH
067    Port of Houston Authority                                       TX
068    Port of Kalama                                                  WA
069    Port of Longview                                                WA
070    Port of Longview                                                WA
071    Port of Miami                                                   FL
072    Port of Milwaukee                                               WI
073    Port of Newport                                                 OR
074    Port of Oakland                                                 CA
075    Port of Olympia                                                 WA
076    Port of Oswego Authority                                        NY
077    Port of Palm Beach District                                     FL
078    Port of Pensacola                                               FL
079    Port of Pittsburgh                                              PA
080    Port of Pittsburgh Commission                                   PA
081    Port of Ponce                                                   PR
082    Port of Port Angeles                                            WA
083    Port of Port Arthur Navigation District                         TX
084    Port of Portland                                                OR
085    Port of Redwood City                                            CA
086    Port of Richmond                                                CA
087    Port of Sacramento                                              CA
088    Port of San Diego                                               CA
089    Port of Seattle                                                 WA
090    Port of Siuslaw                                                 OR
091    Port of Skamania County                                         WA
092    Port of Stockton                                                CA
093    Port of Tacoma                                                  WA
094    Port of Vancouver                                               WA
095    Puerto Rico Ports Authority                                     PR
096    Putnam County Port Authority                                    FL
097    San Francisco Port Commission                                   CA
098    South Carolina State Ports Authority                            SC
099    South Jersey Port Corporation                                   NJ
100    South Louisiana Port Commission                                 LA
101    Tampa Port Authority                                            FL
102    Toledo-Lucas County Port Authority                              OH
103    Virgin Islands Port Authority                                   VI
104    Virginia Port Authority                                         VA
105    Waukegan Port District                                          IL
106    Westover Metropolitan Development Corporation                   MA
    108-119 - [RESERVED FOR CREATION OF NEW PORT AUTHORITIES]

=======================================
===== Historical Port Authorities =====
=======================================

120    Brazos River Harbor Navigation District                         TX
121    Calhoun County Navigation District                              TX


=======================================
============= US Airports =============
=======================================

    BHM    Birmingham–Shuttlesworth International Airport           Birmingham, AL
    DHN    Dothan Regional Airport                                  Dothan, AL
    HSV    Huntsville International Airport                         Huntsville, AL 
    MOB    Mobile Regional Airport                                  Mobile, AL
    MGM    Montgomery Regional Airport                              Montgomery, AL 
    MRI    Merrill Field                                            Anchorage, AK
    ANC    Ted Stevens Anchorage International Airport              Anchorage, AK
    BET    Bethel Airport                                           Bethel, AK
    CDV    Merle K. (Mudhole) Smith Airport                         Cordova, AK 
    SCC    Deadhorse Airport                                        Deadhorse, AK
    DLG    Dillingham Airport                                       Dillingham, AK
    FAI    Fairbanks International Airport                          Fairbanks, AK
    GST    Gustavus Airport                                         Gustavus, AK
    HOM    Homer Airport                                            Homer, AK
    JNU    Juneau International Airport                             Juneau, AK
    ENA    Kenai Municipal Airport                                  Kenai, AK
    KTN    Ketchikan International Airport                          Ketchikan, AK
    AKN    King Salmon Airport                                      King Salmon, AK  
    AKW    Klawock Airport                                          Klawock, AK
    ADQ    Kodiak Airport                                           Kodiak, AK
    OTZ    Ralph Wien Memorial Airport                              Kotzebue, AK 
    OME    Nome Airport                                             Nome, AK
    PSG    Petersburg James A. Johnson Airport                      Petersburg, AK
    SIT    Sitka Rocky Gutierrez Airport                            Sitka, AK
    DUT    Unalaska Airport                                         Unalaska, AK  
    BRW    Wiley Post–Will Rogers Memorial Airport                  Utqiaġvik, AK
    WRG    Wrangell Airport                                         Wrangell, AK
    YAK    Yakutat Airport                                          Yakutat, AK
    FLG    Flagstaff Pulliam Airport                                Flagstaff, AZ
    IWA    Phoenix–Mesa Gateway Airport                             Mesa, AZ
    PGA    Page Municipal Airport                                   Page, AZ
    PHX    Phoenix Sky Harbor International Airport                 Phoenix, AZ   
    PRC    Prescott Municipal Airport                               Prescott, AZ
    TUS    Tucson International Airport                             Tucson, AZ
    NYL    Yuma International Airport                               Yuma, AZ
    XNA    Northwest Arkansas National Airport                      Fayetteville, AR
    FSM    Fort Smith Regional Airport                              Fort Smith, AR
    LIT    Bill and Hillary Clinton National Airport                Little Rock, AR
    TXK    Texarkana Regional Airport                               Texarkana, AR
    ACV    California Redwood Coast–Humboldt County Airport         Arcata/Eureka, CA
    BFL    Meadows Field                                            Bakersfield, CA
    BUR    Hollywood Burbank Airport                                Burbank, CA
    FAT    Fresno Yosemite International Airport                    Fresno, CA
    LGB    Long Beach Airport                                       Long Beach, CA
    LAX    Los Angeles International Airport                        Los Angeles, CA
    MRY    Monterey Regional Airport                                Monterey, CA
    OAK    Oakland International Airport                            Oakland, CA
    ONT    Ontario International Airport                            Ontario, CA
    SNA    John Wayne Airport                                       Santa Ana, CA
    PSP    Palm Springs International Airport                       Palm Springs, CA
    RDD    Redding Municipal Airport                                Redding, CA
    SMF    Sacramento International Airport                         Sacramento, CA
    SAN    San Diego International Airport                          San Diego, CA
    SFO    San Francisco International Airport                      San Francisco, CA
    SJC    San José Mineta International Airport                    San Jose, CA
    SBP    San Luis Obispo County Regional Airport                  San Luis Obispo, CA
    SBA    Santa Barbara Municipal Airport                          Santa Barbara, CA
    SMX    Santa Maria Public Airport                               Santa Maria, CA
    STS    Charles M. Schulz–Sonoma County Airport                  Santa Rosa, CA
    SCK    Stockton Metropolitan Airport                            Stockton, CA
    ALS    San Luis Valley Regional Airport                         Alamosa, CO
    ASE    Aspen/Pitkin County Airport                              Aspen, CO
    COS    City of Colorado Springs Municipal Airport               Colorado Springs, CO
    DEN    Denver International Airport                             Denver, CO
    DRO    Durango–La Plata County Airport                          Durango, CO 
    EGE    Eagle County Regional Airport                            Vail, CO
    GJT    Grand Junction Regional Airport                          Grand Junction, CO
    GUC    Gunnison–Crested Butte Regional Airport                  Gunnison, CO
    HDN    Yampa Valley Airport                                     Hayden, CO
    MTJ    Montrose Regional Airport                                Montrose, CO 
    BDL    Bradley International Airport                            Hartford, CT 
    HVN    Tweed-New Haven Airport                                  New Haven, CT
    ILG    Wilmington Airport                                       Wilmington, DE
    DAB    Daytona Beach International Airport                      Daytona Beach, FL
    FLL    Fort Lauderdale–Hollywood International Airport          Fort Lauderdale, FL
    RSW    Southwest Florida International Airport                  Fort Myers, FL
    VPS    Destin–Fort Walton Beach Airport                         Fort Walton Beach, FL
    GNV    Gainesville Regional Airport                             Gainesville, FL
    JAX    Jacksonville International Airport                       Jacksonville, FL
    EYW    Key West International Airport                           Key West, FL
    MLB    Melbourne Orlando International Airport                  Melbourne, FL
    MIA    Miami International Airport                              Miami, FL
    MCO    Orlando International Airport                            Orlando, FL
    ECP    Northwest Florida Beaches International Airport          Panama City, FL
    PNS    Pensacola International Airport                          Pensacola, FL
    PGD    Punta Gorda Airport                                      Punta Gorda, FL
    SFB    Orlando Sanford International Airport                    Sanford, FL
    SRQ    Sarasota–Bradenton International Airport                 Sarasota, FL
    PIE    St. Pete–Clearwater International Airport                St. Petersburg, FL
    TLH    Tallahassee International Airport                        Tallahassee, FL
    TPA    Tampa International Airport                              Tampa, FL
    PBI    Palm Beach International Airport                         West Palm Beach, FL
    ABY    Southwest Georgia Regional Airport                       Albany, GA
    ATL    Hartsfield–Jackson Atlanta International Airport         Atlanta, GA 
    AGS    Augusta Regional Airport                                 Augusta, GA
    BQK    Brunswick Golden Isles Airport                           Brunswick, GA
    CSG    Columbus Airport                                         Columbus, GA
    MCN    Middle Georgia Regional Airport                          Macon, GA
    SAV    Savannah/Hilton Head International Airport               Savannah, GA  
    VLD    Valdosta Regional Airport                                Valdosta, GA
    ITO    Hilo International Airport                               Hilo, HI
    HNL    Daniel K. Inouye International Airport                   Honolulu, HI
    OGG    Kahului Airport                                          Maui, HI
    KOA    Ellison Onizuka Kona International Airport               Kona, HI
    MKK    Molokai Airport                                          Molokai, HI
    LNY    Lanai Airport                                            Lanai City, HI
    LIH    Lihue Airport                                            Lihue, HI
    BOI    Boise Airport                                            Boise, ID
    SUN    Friedman Memorial Airport                                Hailey, ID
    IDA    Idaho Falls Regional Airport                             Idaho Falls, ID
    LWS    Lewiston–Nez Perce County Airport                        Lewiston, ID
    PIH    Pocatello Regional Airport                               Pocatello, ID
    TWF    Magic Valley Regional Airport                            Twin Falls, ID
    BLV    MidAmerica St. Louis Airport                             Belleville, IL
    BMI    Central Illinois Regional Airport                        Bloomington, IL
    CMI    University of Illinois - Willard Airport                 Champaign, IL
    MDW    Chicago Midway International Airport                     Chicago, IL
    ORD    Chicago O'Hare International Airport                     Chicago, IL
    MWA    Veterans Airport of Southern Illinois                    Marion, IL
    MLI    Quad City International Airport                          Moline, IL
    PIA    General Downing-Peoria International Airport             Peoria, IL
    RFD    Chicago Rockford International Airport                   Rockford, IL
    SPI    Abraham Lincoln Capital Airport                          Springfield, IL
    EVV    Evansville Regional Airport                              Evansville, IN
    FWA    Fort Wayne International Airport                         Fort Wayne, IN
    IND    Indianapolis International Airport                       Indianapolis, IN 
    SBN    South Bend International Airport                         South Bend, IN
    CID    Eastern Iowa Airport                                     Cedar Rapids, IA
    DSM    Des Moines International Airport                         Des Moines, IA
    DBQ    Dubuque Regional Airport                                 Dubuque, IA
    SUX    Sioux Gateway Airport                                    Sioux City, IA
    ALO    Waterloo Regional Airport                                Waterloo, IA
    GCK    Garden City Regional Airport                             Garden City, KS
    HYS    Hays Regional Airport                                    Hays, KS
    MHK    Manhattan Regional Airport                               Manhattan, KS
    SLN    Salina Regional Airport                                  Salina, KS
    ICT    Wichita Dwight D. Eisenhower National Airport            Wichita, KS 
    CVG    Cincinnati/Northern Kentucky International Airport       Cincinnati, OH / Covington, KY
    LEX    Blue Grass Airport                                       Lexington, KY
    SDF    Louisville International Airport                         Louisville, KY
    OWB    Owensboro–Daviess County Regional Airport                Owensboro, KY
    PAH    Barkley Regional Airport                                 Paducah, KY
    AEX    Alexandria International Airport                         Alexandria, LA
    BTR    Baton Rouge Metropolitan Airport                         Baton Rouge, LA
    LFT    Lafayette Regional Airport                               Lafayette, LA
    LCH    Lake Charles Regional Airport                            Lake Charles, LA  
    MLU    Monroe Regional Airport                                  Monroe, LA
    MSY    Louis Armstrong New Orleans International Airport        New Orleans, LA
    SHV    Shreveport Regional Airport                              Shreveport, LA
    BGR    Bangor International Airport                             Bangor, ME
    PWM    Portland International Jetport                           Portland, ME 
    PQI    Presque Isle International Airport                       Presque Isle, ME
    RKD    Knox County Regional Airport                             Rockland, ME
    BWI    Baltimore/Washington International Airport               Baltimore, MD
    HGR    Hagerstown Regional Airport                              Hagerstown, MD
    SBY    Salisbury–Ocean City–Wicomico Regional Airport           Salisbury, MD
    BOS    Gen. Edward Lawrence Logan International Airport         Boston, MA
    HYA    Cape Cod Gateway Airport                                 Hyannis, MA 
    ACK    Nantucket Memorial Airport                               Nantucket, MA
    MVY    Martha's Vineyard Airport                                Vineyard Haven, MA
    ORH    Worcester Regional Airport                               Worcester, MA
    APN    Alpena County Regional Airport                           Alpena, MI
    DTW    Detroit Metro Wayne County Airport                       Detroit, MI
    ESC    Delta County Airport                                     Escanaba, MI
    FNT    Bishop International Airport                             Flint, MI
    GRR    Gerald R. Ford International Airport                     Grand Rapids, MI
    CMX    Houghton County Memorial Airport                         Hancock, MI
    IMT    Ford Airport                                             Iron Mountain, MI
    AZO    Kalamazoo/Battle Creek International Airport             Kalamazoo, MI
    LAN    Capital Region International Airport                     Lansing, MI
    SAW    Sawyer International Airport                             Marquette, MI
    MKG    Muskegon County Airport                                  Muskegon, MI
    PLN    Pellston Regional/Emmet County Airport                   Pellston, MI
    MBS    MBS International Airport                                Saginaw, MI
    CIU    Chippewa County International Airport                    Sault Ste. Marie, MI
    TVC    Cherry Capital Airport                                   Traverse City  
    BJI    Bemidji Regional Airport                                 Bemidji, MN
    BRD    Brainerd Lakes Regional Airport                          Brainerd, MN
    DLH    Duluth International Airport                             Duluth, MN
    HIB    Range Regional Airport                                   Hibbing, MN
    MSP    Minneapolis–St. Paul International                       Minneapolis-St. Paul, MN
    RST    Rochester International Airport                          Rochester, MN
    STC    St. Cloud Regional Airport                               St. Cloud, MN
    GTR    Golden Triangle Regional Airport                         Columbus, MS
    GPT    Gulfport–Biloxi International Airport                    Biloxi, MS
    PIB    Hattiesburg–Laurel Regional Airport                      Hattiesburg, MS
    JAN    Jackson–Medgar Wiley Evers International Airport         Jackson, MS
    MEI    Key Field                                                Meridian, MS
    TUP    Tupelo Regional Airport                                  Tupelo, MS
    BBG    Branson Airport                                          Branson, MO
    COU    Columbia Regional Airport                                Columbia, MO
    TBN    Waynesville-St. Robert Regional Airport                  Waynesville, MO
    JLN    Joplin Regional Airport                                  Joplin, MO
    MCI    Kansas City International Airport                        Kansas City, MO
    STL    St. Louis Lambert International Airport                  St. Louis, MO
    SGF    Springfield–Branson National Airport                     Springfield, MO
    BIL    Billings Logan International Airport                     Billings, MT
    BZN    Bozeman Yellowstone International Airport                Bozeman, MT
    BTM    Bert Mooney Airport                                      Butte, MT
    GTF    Great Falls International Airport                        Great Falls, MT
    HLN    Helena Regional Airport                                  Helena, MT
    GPI    Glacier Park International Airport                       Kalispell, MT
    MSO    Missoula Montana Airport                                 Missoula, MT
    WYS    Yellowstone Airport                                      West Yellowstone, MT
    GRI    Central Nebraska Regional Airport                        Grand Island, NE
    EAR    Kearney Regional Airport                                 Kearney, NE
    LNK    Lincoln Airport                                          Lincoln, NE
    LBF    North Platte Regional Airport                            North Platte, NE
    OMA    Eppley Airfield                                          Omaha, NE
    BFF    Western Nebraska Regional Airport                        Scottsbluff, NE
    BVU    Boulder City Municipal Airport                           Boulder City, ID
    EKO    Elko Regional Airport                                    Elko, ID
    LAS    Harry Reid International Airport                         Las Vegas, ID
    RNO    Reno/Tahoe International Airport                         Reno, ID
    MHT    Manchester–Boston Regional Airport                       Manchester, NH
    PSM    Portsmouth International Airport at Pease                Portsmouth, NH
    ACY    Atlantic City International Airport                      Atlantic City, NJ
    EWR    Newark Liberty International Airport                     Newark, NJ
    TTN    Trenton Mercer Airport                                   Trenton, NJ 
    ABQ    Albuquerque International Sunport                        Albuquerque, NM
    HOB    Lea County Regional Airport                              Hobbs, NM
    ROW    Roswell Air Center                                       Roswell, NM  
    SAF    Santa Fe Municipal Airport                               Santa Fe, NM
    ALB    Albany International Airport                             Albany, NY
    BGM    Greater Binghamton Airport                               Binghamton, NY
    BUF    Buffalo Niagara International Airport                    Buffalo, NY
    ELM    Elmira/Corning Regional Airport                          Elmira, NY
    ITH    Ithaca Tompkins International Airport                    Ithaca, NY
    JFK    John F. Kennedy International Airport                    New York, NY
    LGA    LaGuardia Airport                                        New York, NY
    ISP    Long Island MacArthur Airport                            New York, NY
    SWF    New York Stewart International Airport                   Newburgh, NY
    IAG    Niagara Falls International Airport                      Niagara Falls, NY
    OGS    Ogdensburg International Airport                         Ogdensburg, NY
    PBG    Plattsburgh International Airport                        Plattsburgh, NY
    ROC    Greater Rochester International Airport                  Rochester, NY
    SYR    Syracuse Hancock International Airport                   Syracuse, NY
    ART    Watertown International Airport                          Watertown, NY
    HPN    Westchester County Airport                               White Plains, NY
    AVL    Asheville Regional Airport                               Asheville, NC
    CLT    Charlotte Douglas International Airport                  Charlotte, NC
    JQF    Concord-Padgett Regional Airport                         Concord, NC
    FAY    Fayetteville Regional Airport                            Fayetteville, NC
    GSO    Piedmont Triad International Airport                     Greensboro, NC
    PGV    Pitt–Greenville Airport                                  Greenville, NC
    OAJ    Albert J. Ellis Airport                                  Jacksonville, NC
    EWN    Coastal Carolina Regional Airport                        New Bern, NC
    RDU    Raleigh–Durham International Airport                     Raleigh, NC
    ILM    Wilmington International Airport                         Wilmington, NC
    BIS    Bismarck Municipal Airport                               Bismarck, ND
    DIK    Dickinson Theodore Roosevelt Regional Airport            Dickinson, ND
    FAR    Hector International Airport                             Fargo, ND
    GFK    Grand Forks International Airport                        Grand Forks, ND
    JMS    Jamestown Regional Airport                               Jamestown, ND
    MOT    Minot International Airport                              Minot, ND
    XWA    Williston Basin International Airport                    Williston, ND
    CAK    Akron-Canton Regional Airport                            Akron, OH
    CLE    Cleveland Hopkins International Airport                  Cleveland, OH
    CMH    John Glenn Columbus International Airport                Columbus, Oh
    LCK    Rickenbacker International Airport                       Columbus, OH
    DAY    James M. Cox Dayton International Airport                Dayton, OH
    TOL    Eugene F. Kranz Toledo Express Airport                   Toledo, OH
    LAW    Lawton–Fort Sill Regional Airport                        Lawton, OK
    OKC    Will Rogers World Airport                                Oklahoma City, OK
    SWO    Stillwater Regional Airport                              Stillwater, OK
    TUL    Tulsa International Airport                              Tulsa, OK
    EUG    Mahlon Sweet Field                                       Eugene, OR
    MFR    Rogue Valley International–Medford Airport               Medford, OR 
    OTH    Southwest Oregon Regional Airport                        North Bend, OR
    PDX    Portland International Airport                           Portland, OR
    RDM    Roberts Field                                            Redmond, OR
    ABE    Lehigh Valley International Airport                      Allentown, PA
    ERI    Erie International Airport                               Erie, PA
    MDT    Harrisburg International Airport                         Harrisburg, PA
    LBE    Arnold Palmer Regional Airport                           Latrobe, PA
    PHL    Philadelphia International Airport                       Philadelphia, PA
    PIT    Pittsburgh International Airport                         Pittsburgh, PA
    UNV    University Park Airport                                  State College, PA
    AVP    Wilkes-Barre/Scranton International Airport              Wilkes-Barre, PA
    BID    Block Island State Airport                               Block Island, RI
    PVD    Rhode Island T. F. Green International Airport           Providence, RI
    WST    Westerly State Airport                                   Westerly, RI
    CHS    Charleston International Airport                         Charleston, SC
    CAE    Columbia Metropolitan Airport                            Columbia, SC
    FLO    Florence Regional Airport                                Florence, SC
    GSP    Greenville–Spartanburg International Airport             Greenville, SC
    HXD    Hilton Head Airport                                      Hilton Head, SC
    MYR    Myrtle Beach International Airport                       Myrtle Beach, SC
    ABR    Aberdeen Regional Airport                                Aberdeen, SD
    PIR    Pierre Regional Airport                                  Pierre, SD
    RAP    Rapid City Regional Airport                              Rapid City, SD
    FSD    Joe Foss Field                                           Sioux Falls, SD
    ATY    Watertown Regional Airport                               Watertown, SD
    CHA    Lovell Field                                             Chattanooga, TN 
    TYS    McGhee Tyson Airport                                     Knoxville, TN
    MEM    Memphis International Airport                            Memphis, TN
    BNA    Nashville International Airport                          Nashville, TN
    TRI    Tri-Cities Airport                                       Tri-Cities, TN
    ABI    Abilene Regional Airport                                 Abilene, TX
    AMA    Rick Husband Amarillo International Airport              Amarillo, TX
    AUS    Austin–Bergstrom International Airport                   Austin, TX
    BPT    Jack Brooks Regional Airport                             Beaumont, TX 
    BRO    Brownsville/South Padre Island International Airport     Brownsville, TX   
    CLL    Easterwood Field                                         College Station, TX
    CRP    Corpus Christi International Airport                     Corpus Christi, TX
    DAL    Dallas Love Field                                        Dallas, TX
    DFW    Dallas Fort Worth International Airport                  Dallas–Fort Worth, TX
    DRT    Del Rio International Airport                            Del Rio, TX
    ELP    El Paso International Airport                            El Paso, TX
    HRL    Valley International Airport                             Harlingen, TX
    IAH    George Bush Intercontinental/Houston Airport             Houston, TX
    HOU    William P. Hobby Airport                                 Houston, TX
    GRK    Killeen–Fort Hood Regional Airport                       Killeen, TX
    LRD    Laredo International Airport                             Laredo, TX
    GGG    East Texas Regional Airport                              Longview, TX 
    LBB    Lubbock Preston Smith International Airport              Lubbock, TX
    MFE    McAllen Miller International Airport                     McAllen, TX
    MAF    Midland International Air and Space Port                 Midland, TX
    SJT    San Angelo Regional Airport (Mathis Field)               San Angelo, TX
    SAT    San Antonio International Airport                        San Antonio, TX 
    TYR    Tyler Pounds Regional Airport                            Tyler, TX
    ACT    Waco Regional Airport                                    Waco, TX
    SPS    Wichita Falls Municipal Airport                          Wichita Falls  
    CDC    Cedar City Regional Airport                              Cedar City, UT
    CNY    Canyonlands Regional Airport                             Moab, UT
    OGD    Ogden-Hinckley Airport                                   Ogden, UT
    PVU    Provo Municipal Airport                                  Provo, UT
    SGU    St. George Regional Airport                              St. George, UT
    SLC    Salt Lake City International Airport                     Salt Lake City, UT
    BTV    Patrick Leahy Burlington International Airport           Burlington, VT
    CHO    Charlottesville–Albemarle Airport                        Charlottesville, VA
    LYH    Lynchburg Regional Airport                               Lynchburg, VA
    PHF    Newport News/Williamsburg International Airport          Newport News, VA
    ORF    Norfolk International Airport                            Norfolk, VA
    RIC    Richmond International Airport                           Richmond, VA
    ROA    Roanoke–Blacksburg Regional Airport                      Roanoke, VA
    SHD    Shenandoah Valley Regional Airport                       Harrisonburg, VA
    DCA    Ronald Reagan Washington National Airport                Washington, DC
    IAD    Washington Dulles International Airport                  Washington, DC
    BLI    Bellingham International Airport                         Bellingham, WA
    ORS    Orcas Island Airport                                     Eastsound, WA
    PAE    Paine Field (Snohomish County Airport)                   Everett, WA
    FHR    Friday Harbor Airport                                    Friday Harbor, WA
    PSC    Tri-Cities Airport                                       Pasco, WA
    PUW    Pullman–Moscow Regional Airport                          Pullman, WA
    BFI    King County International Airport                        Seattle, WA
    SEA    Seattle–Tacoma International Airport                     Seattle, WA
    GEG    Spokane International Airport                            Spokane, WA
    ALW    Walla Walla Regional Airport                             Walla Walla, WA
    EAT    Pangborn Memorial Airport                                Wenatchee, WA
    YKM    Yakima Air Terminal                                      Yakima, WA
    CRW    Yeager Airport                                           Charleston, WV
    CKB    North Central West Virginia Airport                      Clarksburg, WV
    HTS    Tri-State Airport                                        Huntington, WV
    LWB    Greenbrier Valley Airport                                Lewisburg, WV
    ATW    Appleton International Airport                           Appleton, WI
    EAU    Chippewa Valley Regional Airport                         Eau Claire, WI
    GRB    Green Bay–Austin Straubel International Airport          Green Bay, WI
    LSE    La Crosse Regional Airport                               La Crosse, WI
    MSN    Dane County Regional Airport                             Madison, WI
    MKE    Milwaukee Mitchell International Airport                 Milwaukee, WI
    CWA    Central Wisconsin Airport                                Mosinee, WI
    RHI    Rhinelander–Oneida County Airport                        Rhinelander, WI
    CPR    Casper–Natrona County International Airport              Casper, WY
    COD    Yellowstone Regional Airport                             Cody, WY
    GCC    Gillette–Campbell County Airport                         Gillette, WY
    JAC    Jackson Hole Airport                                     Jackson, WY
    LAR    Laramie Regional Airport                                 Laramie, WY
    RIW    Central Wyoming Regional Airport                         Riverton, WY
    RKS    Southwest Wyoming Regional Airport                       Rock Springs, WY
    SHR    Sheridan County Airport                                  Sheridan, WY
    GUM    Antonio B. Won Pat International Airport                 Agana, GU
    GSN    Saipan International Airport                             Obyan, MP (Northern Marianas Islands)
    TNI    Tinian International Airport                             Tinian Island, MP (Northern Marianas Islands)
    BQN    Rafael Hernández Airport                                 Aguadilla, PR
    RVR    José Aponte de la Torre Airport                          Ceiba, PR
    CPX    Benjamín Rivera Noriega Airport                          Culebra, PR  
    PSE    Mercedita Airport                                        Ponce, PR
    SIG    Fernando Luis Ribas Dominicci Airport                    San Juan, PR
    SJU    Luis Muñoz Marín International Airport                   San Juan, PR
    VQS    Antonio Rivera Rodríguez Airport                         Vieques, PR
    STT    Cyril E. King Airport                                    St. Thomas, VI
    STX    Henry E. Rohlsen Airport                                 St. Croix, VI


=======================================
==== US Transportation Authorities ====
=======================================
    
https://en.wikipedia.org/wiki/Category:Toll_road_authorities_of_the_United_States


Central Florida Expressway Authority
New Jersey Turnpike Authority
New York State Thruway Authority
Pennsylvania Turnpike Commission
BATA    Bay Area Toll Authority
Burlington County Bridge Commission
California Toll Bridge Authority
DRJTBC  Delaware River Joint Toll Bridge Commission
E-470 Public Highway Authority
E-ZPass Interagency Group
FBCTRA  Fort Bend County Toll Road Authority
North Texas Tollway Authority
Harris County Toll Road Authority
Illinois State Toll Highway Authority (ISTHA)
ITRCC   Indiana Toll Road Concession Company
JTA     Jacksonville Transportation Authority
KTA     Kansas Turnpike Authority
Mackinac Bridge Authority
Maine Turnpike Authority (MTA)
Maryland Transportation Authority (MDTA) 
Miami-Dade Expressway Authority (MDX) 
Montgomery County Toll Road Authority (MCTRA)
North Carolina Turnpike Authority
North Texas Tollway Authority (NTTA)
Ohio Turnpike Commission
Oklahoma Turnpike Authority
Orange County Transportation Authority (OCTA) 
RITBA   Rhode Island Turnpike & Bridge Authority
Richmond Metropolitan Transportation Authority
South Jersey Transportation Authority (SJTA)
 State Road and Tollway Authority (SRTA) 
 Tampa Hillsborough Expressway Authority (THEA)
San Joaquin Hills Transportation Corridor Agency 
Foothill/Eastern Transportation Corridor Agency
Washington State Toll Bridge Authority
West Virginia Parkways Authority

Alamo Regional Mobility Authority (ARMA)
Cameron County Regional Mobility Authority (CCRMA)
Camino Real Regional Mobility Authority (CRRMA)
Central Texas Regional Mobility Authority (CTRMA)
Grayson County Regional Mobility Authority (GCRMA)
Hidalgo County Regional Mobility Authority (HCRMA)
North East Texas Regional Mobility Authority (NETRMA)
Sulphur River Regional Mobility Authority (SURRMA)
Webb County–City of Laredo Regional Mobility Authority (WCCL-RMA) 

==============
Orlando–Orange County Expressway Authority
New Jersey Highway Authority
Jacksonville Expressway Authority
Massachusetts Turnpike Authority (MTA) 
