============ zoos ======================
Abilene Zoological Gardens                                          Abilene, TX
Phoenix Zoo                                                         Phoenix, AZ
Pittsburgh Zoo & PPG Aquarium                                       Pittsburgh, PA
Point Defiance Zoo & Aquarium                                       Tacoma, WA
Potawatomi Zoo                                                      South Bend, IN
Potter Park Zoo                                                     Lansing, MI
Prospect Park Zoo                                                   Brooklyn, NY
Pueblo Zoo                                                          Pueblo, CO
Queens Zoo                                                          Flushing, NY
Racine Zoo                                                          Racine, WI
Red River Zoo                                                       Fargo, ND
Reid Park Zoo                                                       Tucson, AZ
Ripley's Aquarium at Myrtle Beach                                   Myrtle Beach, SC
Ripley's Aquarium of the Smokies                                    Gatlinburg, TN
Riverbanks Zoological Park                                          Columbia, SC
Roger Williams Park Zoo                                             Providence, RI
Rolling Hills Zoo                                                   Salina, KS
Roosevelt Park Zoo                                                  Minot, ND
Rosamond Gifford Zoo                                                Syracuse, NY
Sacramento Zoo                                                      Sacramento, CA
Safari West                                                         Sonoma County, CA
Saginaw Children's Zoo                                              Saginaw, MI
Saint Louis Zoo                                                     Saint Louis, MO
Salisbury Zoo                                                       Salisbury, MD
San Antonio Zoological Gardens & Aquarium                           San Antonio, TX
San Diego Zoo                                                       San Diego, CA
San Diego Zoo Safari Park                                           Escondido, CA
San Francisco Zoological Gardens                                    San Francisco, CA
Santa Ana Zoo                                                       Santa Ana, CA
Santa Barbara Zoo                                                   Santa Barbara, CA
Santa Fe College Teaching Zoo                                       Gainesville, FL
Scovill Zoo                                                         Decatur, IL
Sea Life Arizona                                                    Tempe, AZ
SEA LIFE Carlsbad Aquarium                                          Carlsbad, CA
Sea Life Charlotte-Concord                                          Concord, NC
Sea Life Grapevine                                                  Grapevine, TX
Sea Life Kansas City                                                Kansas City, MO
Sea Life Michigan                                                   Auburn Hills, MI
Sea Life Orlando Aquarium                                           Orlando, FL
Seas with Nemo & Friendsm The                                       Bay Lake, FL
SeaWorld Orlando                                                    Orlando, FL
SeaWorld San Antonio                                                San Antonio, TX
SeaWorld San Diego                                                  San Diego, CA
Sedgwick County Zoo                                                 Wichita, KS
Seneca Park Zoo                                                     Rochester, NY
Sequoia Park Zoo                                                    Eureka, CA
Shark Reef at Mandalay Bay                                          Las Vegas, NV
Six Flags Discovery Kingdom                                         Vallejo, CA
Smithsonian National Zoological Park                                Washington, DC
South Carolina Aquarium                                             Charleston, SC
Squam Lakes Natural Science Center                                  Holderness, NH
St. Augustine Alligator Farm                                        St. Augustine, FL
Staten Island Zoo                                                   Staten Island, NY
Steinhart Aquarium                                                  San Francisco, CA
Stone Zoo                                                           Stoneham, MA
Sunset Zoological Park                                              Manhattan, KS
Tennessee Aquarium                                                  Chattanooga, TN
Texas State Aquarium                                                Corpus Christi, TX
Texas Zoo, The                                                      Victoria, TX
Toledo Zoological Gardens                                           Toledo, OH
Topeka Zoo                                                          Topeka, KS
Tracy Aviary                                                        Salt Lake City, UT
Trevor Zoo                                                          Millbrook, NY
Tulsa Zoo                                                           Tulsa, OK
Turtle Back Zoo                                                     West Orange, NJ
Utah's Hogle Zoo                                                    Salt Lake City, UT
Utica Zoo                                                           Utica, NY
Virginia Aquarium and Marine Science Center                         Virginia Beach, VA
Virginia Living Museum                                              Newport News, VA
Virginia Zoological Park                                            Norfolk, VA
Western North Carolina Nature Center                                Asheville, NC
Wildlife Safari                                                     Winston, OR
Wildlife World Zoo and Aquarium                                     Litchfield Park, AZ
Wilds, The                                                          Cumberland, OH
Wonders of Wildlife Museum & Aquarium                               Springfield, MO
Woodland Park Zoo                                                   Seattle, WA
Zoo Atlanta                                                         Atlanta, GA
Zoo Boise                                                           Boise, ID
Zoo Knoxville                                                       Knoxville, TN
Zoo Miami                                                           Miami, FL
Zoo Northwest Florida, The                                          Gulf Breeze, FL
ZooAmerica                                                          Hershey, PA
ZooMontana                                                          Billings, MT
ZooTampa at Lowry Park                                              Tampa, FL


========= museums ======================

Smithsonian Institution                                             Washington, DC
National Museum of Natural History                                  Washington, DC
National Gallery of Art                                             Washington, DC
Metropolitan Museum of Art                                          New York City, NY
Museum of Modern Art                                                New York City, NY
National Museum of American History                                 Washington, DC
California Science Center                                           Los Angeles, CA
Houston Museum of Natural Science                                   Houston, TX
National Air and Space Museum                                       Washington, DC
Denver Museum of Nature and Science                                 Denver, CO
Museum of Science and Industry                                      Chicago, IL
Museum of Science                                                   Boston, MA
Smithsonian American Art Museum                                     Washington, DC
National Museum of African American History and Culture             Washington, DC
Huntington Library                                                  San Marino, CA
Art Institute of Chicago                                            Chicago, IL
Field Museum of Natural History                                     Chicago, IL
Getty Center                                                        Los Angeles, CA
California Academy of Sciences                                      San Francisco, CA
National Portrait Gallery                                           Washington, DC
Houston Museum of Fine Arts                                         Houston, TX
Los Angeles County Museum of Art                                    Los Angeles, CA
Whitney Museum of American Art                                      New York City, NY
Hirshhorn Museum and Sculpture Garden                               Washington, DC
De Young Museum                                                     San Francisco, CA
Solomon Guggenheim Museum                                           New York City, NY
Denver Art Museum                                                   Denver, CO
The Broad                                                           Los Angeles, CA
Minneapolis Institute of Art                                        Minneapolis, MN
National Museum of the American Indian                              Washington, DC
Pacific Science Center                                              Seattle, WA

============== housing authorities ===========================


    Abbeville Housing Authority                                         AL                       
    Albertville Housing Authority                                       AL                         
    Aliceville Housing Authority                                        AL                        
    Altoona Housing Authority                                           AL                                                                
    Andalusia Housing Authority                                         AL                       
    Anniston Housing Authority                                          AL                      
    Arab Housing Authority                                              AL                  
    Ashford Housing Authority                                           AL                     
    Atmore Housing Authority                                            AL                    
    Auburn Housing Authority                                            AL                                                                
    Bay Minette Housing Authority                                       AL                         
    Bear Creek Housing Authority                                        AL                        
    Boaz Housing Authority                                              AL                  
    Boston Housing Authority                                            AL                    
    Brundidge Housing Authority                                         AL                       
    Calera Housing Authority                                            AL                    
    Carbon Hill Housing Authority                                       AL                         
    Childersburg Housing Authority                                      AL                          
    Collinsville Housing Authority                                      AL                          
    Columbiana Housing Authority                                        AL                        
    Cottonwood Housing Authority                                        AL                                                                
    Crossville Housing Authority                                        AL                        
    Cullman Housing Authority                                           AL                                                                
    Decatur Housing Authority                                           AL                     
    Demopolis Housing Authority                                         AL                       
    Dothan Housing Authority                                            AL                    
    Elba Housing Authority                                              AL                  
    Enterprise Housing Authority                                        AL                        
    Eufaula Housing Authority                                           AL                     
    Evergreen Housing Authority                                         AL                       
    Fairfield Housing Authority                                         AL                       
    Florence Housing Authority                                          AL                                                                
    Georgiana Housing Authority                                         AL                       
    Gordo Housing Authority                                             AL                   
    Greater Gadsden Housing Authority                                   AL                             
    Greenville Housing Authority                                        AL                        
    Guin Housing Authority                                              AL                  
    Guntersville Housing Authority                                      AL                          
    Hackleburg Housing Authority                                        AL                        
    Haleyville Housing Authority                                        AL                                                                
    Hamilton Housing Authority                                          AL                                                                
    Hartford Housing Authority                                          AL                                                                
    Housing Authority Monroeville                                       AL                         
    Housing Authority of Alexander City                                 AL                               
    Housing Authority of Cordova                                        AL                                                                
    Housing Authority of Foley                                          AL                      
    Housing Authority of Greene County                                  AL                              
    Housing Authority of the Birmingham District                        AL                                                                
    Housing Authority of the City of Athens                             AL                                   
    Housing Authority of the City of Attalla                            AL                                    
    Housing Authority of the City of Bessemer                           AL                                     
    Housing Authority of the City of Brantley                           AL                                                                
    Housing Authority of the City of Brewton                            AL                                                                
    Housing Authority of the City of Bridgeport                         AL                                       
    Housing Authority of the City of Centre                             AL                                   
    Housing Authority of the City of Chickasaw                          AL                                      
    Housing Authority of the City of Clanton                            AL                                                                
    Housing Authority of the City of Columbia                           AL                                     
    Housing Authority of the City of Dadeville                          AL                                      
    Housing Authority of the City of Daleville                          AL                                      
    Housing Authority of the City of Eutaw                              AL                                  
    Housing Authority of the City of Florala                            AL                                    
    Housing Authority of the City of Fort Payne                         AL                                       
    Housing Authority of the City of Goodwater                          AL                                      
    Housing Authority of the City of Greensboro                         AL                                       
    Housing Authority of the City of Hartselle                          AL                                      
    Housing Authority of the City of Headland                           AL                                     
    Housing Authority of the City of Heflin                             AL                                   
    Housing Authority of the City of Linden                             AL                                   
    Housing Authority of the City of Livingston                         AL                                       
    Housing Authority of the City of Marion                             AL                                   
    Housing Authority of the City of Moulton                            AL                                    
    Housing Authority of the City of Newton                             AL                                   
    Housing Authority of the City of Prattville                         AL                                       
    Housing Authority of the City of Sulligent                          AL                                      
    Housing Authority of the City of Tuscumbia                          AL                                      
    Housing Authority of the City of Valley                             AL     
    Housing Authority of the Town of Ashland                            AL                                    
    Housing Authority of the Town of Berry                              AL                                  
    Housing Authority of the Town of Blountsville                       AL                                         
    Housing Authority of the Town of Clayton                            AL                                                                
    Housing Authority of the Town of Fort Deposit                       AL                                         
    Housing Authority of the Town of Hanceville                         AL                                       
    Housing Authority of the Town of Hobson City                        AL                                        
    Housing Authority of the Town of Kennedy                            AL                                                                
    Housing Authority of the Town of Montevallo                         AL                                       
    Housing Authority of the Town of New Brockton                       AL                                         
    Housing Authority of the Town of Parrish                            AL                                                                
    Housing Authority of the Town of Slocomb                            AL                                                                
    Housing Authority of the Town of Valley Head                        AL                                        
    Housing Authority Troy                                              AL                  
    Huntsville Housing Authority                                        AL                        
    Jacksonville Housing Authority                                      AL                          
    Jasper Housing Authority                                            AL                    
    Jefferson County Housing Authority                                  AL                              
    Lafayette Housing Authority                                         AL                       
    Lanett Housing Authority                                            AL                                                                
    Leeds Housing Authority                                             AL                   
    Lineville Housing Authority                                         AL                       
    Luverne Housing Authority                                           AL                     
    MCHA Communities, LLC                                               AL                 
    Millport Housing Authority                                          AL                      
    Mobile Housing Authority                                            AL                    
    Montgomery Housing Authority                                        AL                        
    Northport Housing Authority                                         AL                       
    Oneonta Housing Authority                                           AL                                                                
    Opelika Housing Authority                                           AL                                                                
    Opp Housing Authority                                               AL                 
    Ozark Housing Authority                                             AL                   
    Pell City Housing Authority                                         AL                       
    Phenix City Housing Authority                                       AL                         
    Phil Campbell Housing Authority                                     AL                           
    Piedmont Housing Authority                                          AL                      
    Prichard Housing Authority                                          AL                      
    Ragland Housing Authority                                           AL                     
    Rainsville Housing Authority                                        AL                        
    Red Bay Housing Authority                                           AL                                                                
    Reform Housing Authority                                            AL                    
    Regional Housing Authority of Lawrence Cullman and Morgan Counties  AL                                                              
    Roanoke Housing Authority                                           AL                     
    Russellville Housing Authority                                      AL                          
    Samson Housing Authority                                            AL                    
    Scottsboro Housing Authority                                        AL                        
    Selma Housing Authority                                             AL                   
    Sheffield Housing Authority                                         AL                       
    South Central Alabama Regional Housing Authority                    AL                                            
    Stevenson Housing Authority                                         AL                       
    Sumiton Housing Authority                                           AL                     
    Sylacauga Housing Authority                                         AL                        
    Talladega Housing Authority                                         AL                                                                
    Tallassee Housing Authority                                         AL                       
    Tarrant Housing Authority                                           AL                     
    Top of Alabama Regional Housing Authority                           AL                                     
    Triana Housing Authority                                            AL                    
    Tuscaloosa Housing Authority                                        AL                        
    Tuskegee Housing Authority                                          AL                      
    Union Springs Housing Authority                                     AL                           
    Uniontown Housing Authority                                         AL                       
    Vernon Housing Authority                                            AL                    
    Vincent Housing Authority                                           AL                     
    Walker County Housing Authority                                     AL                           
    Washington County Housing Authority                                 AL                               
    Winfield Housing Authority                                          AL                       
    York Housing Authority                                              AL                  
    City of Chandler Housing and Redevelopment Division                 AZ                                               
    City of Douglas Public Housing Authority                            AZ                                    
    City of Mesa Housing Authority                                      AZ                          
    City of Phoenix Housing Department                                  AZ                                                                
    City of Tempe Housing Authority                                     AZ                           
    City of Tucson Department of Housing and Community Development      AZ                                                                
    Eloy Housing Authority                                              AZ                  
    Flagstaff Housing Authority                                         AZ                       
    Gila County Housing Authority                                       AZ                         
    Glendale Housing Authority                                          AZ                                                                
    Glendale Housing Authority                                          AZ                                                                
    Housing Authority of Cochise County                                 AZ                               
    Housing Authority of Maricopa County                                AZ                                
    Housing Authority of the City of Yuma                               AZ                                 
    Mohave County Housing Authority                                     AZ                           
    Nogales Housing Authority                                           AZ                     
    Peoria Housing Authority                                            AZ                    
    Pima County Housing Authority                                       AZ                         
    Pinal County Housing Authority                                      AZ                          
    Scottsdale Housing Authority                                        AZ                        
    South Tucson Housing Authority                                      AZ                          
    Williams Housing Authority                                          AZ                      
    Winslow Public Housing Authority                                    AZ                            
    Yuma County Housing Department                                      AZ                          
    Alma Housing Authority                                              AR                  
    Amity Housing Authority                                             AR                   
    Arkadelphia Housing Authority                                       AR                         
    Ashley County Housing Authority                                     AR                           
    Batesville Housing Authority                                        AR                        
    Beebe Housing Authority                                             AR                   
    Benton Housing Authority                                            AR                    
    Blytheville Housing Authority                                       AR                         
    Brinkley Housing Authority                                          AR                      
    Cabot Public Housing Agency                                         AR                       
    Calhoun County Public Housing Agency                                AR                               
    Camden Housing Authority                                            AR                    
    Caraway Housing Authority                                           AR                     
    Carthage Housing Authority                                          AR                      
    City of Magnolia (AAA)                                              AR                  
    Clarendon Housing Authority                                         AR                       
    Clarksville Housing Authority                                       AR                         
    Conway County Housing Authority                                     AR                           
    Conway Housing Authority                                            AR                    
    Cotton Plant Housing Authority                                      AR                          
    Crawford Co. Public Facilties Board                                 AR                               
    Crossett Housing Authority                                          AR                      
    Dallas County Public Housing Agency                                 AR                              
    Dardanelle Housing Authority                                        AR                        
    De Valls Bluff Housing Authority                                    AR                            
    Des Arc Housing Authority                                           AR                     
    Desha Co. Residential Housing Fac Board                             AR                                   
    Dover Housing Authority                                             AR                   
    Drew County Public Facilities Board                                 AR                               
    Dumas Housing Authority                                             AR                   
    Earle Housing Authority                                             AR                   
    England Housing Authority                                           AR                     
    Fayetteville Housing Authority                                      AR                          
    Fayetteville Housing Authority                                      AR                          
    Forrest City Housing Authority                                      AR                          
    Fort Smith Housing Authority                                        AR                        
    Franklin County Public Housing Agency                               AR                                 
    Greene County Housing Authority                                     AR                           
    Greenwood Housing Authority                                         AR                       
    Gurdon Housing Authority                                            AR                    
    Harrison Housing Agency                                             AR                   
    Heber Springs Housing Authority                                     AR                           
    Helena Housing Authority                                            AR                    
    Hope Housing Authority                                              AR                  
    Hot Springs Housing Authority                                       AR                         
    Housing Authority of the City of Atkins                             AR                                   
    Housing Authority of the City of Augusta                            AR                                    
    Housing Authority of the City of Bald Knob                          AR                                      
    Housing Authority of the City of Booneville                         AR                                       
    Housing Authority of the City of Coal Hill                          AR                                      
    Housing Authority of the City of Cushman                            AR                                    
    Housing Authority of the City of Decatur                            AR                                    
